[point]  [temperature]    [humidity]
강릉,         26.9,            73
강진군,         26.2,            98
강화,         26.5,            84
거제,         25.1,            93
거창,         24.0,            98
경주시,         24.8,            94
고산,         26.2,            100
고창,         26.2,            95
고창군,         25.3,            91
고흥,         25.6,            94
광양시,         26.0,            97
광주,         26.3,            99
구미,         26.5,            83
군산,         26.1,            97
금산,         28.0,            77
김해시,         23.4,            100
남원,         23.7,            100
남해,         25.4,            95
대관령,         22.9,            90
대구,         26.1,            91
대전,         28.4,            85
동두천,         29.7,            70
동해,         23.7,            93
목포,         27.3,            86
문경,         25.9,            85
밀양,         24.0,            94
백령도,         22.5,            92
보령,         26.0,            94
보성군,         27.1,            92
보은,         27.1,            82
봉화,         23.6,            80
부산,         23.0,            99
부안,         25.8,            100
부여,         27.2,            84
북강릉,         23.8,            85
북창원,         24.5,            100
북춘천,         29.8,            61
산청,         24.2,            98
상주,         26.0,            92
서귀포,         26.1,            99
서산,         26.0,            86
서울,         28.9,            68
성산,         26.6,            100
세종,         27.5,            82
속초,         25.8,            80
수원,         28.9,            76
순창군,         24.6,            98
순천,         25.2,            99
안동,         26.3,            81
양산시,         23.5,            100
양평,         27.2,            76
여수,         25.0,            99
영광군,         26.0,            96
영덕,         23.8,            90
영월,         26.7,            73
영주,         25.4,            84
영천,         25.8,            92
완도,         26.7,            93
울릉도,         21.9,            96
울산,         23.4,            98
울진,         22.9,            95
원주,         27.6,            69
의령군,         24.5,            95
의성,         27.3,            81
이천,         27.3,            80
인제,         29.1,            64
인천,         26.1,            72
임실,         23.1,            100
장수,         22.9,            100
장흥,         26.5,            99
전주,         26.7,            89
정선군,         28.8,            64
정읍,         25.6,            91
제주,         28.6,            83
제천,         26.3,            77
진도군,         26.4,            92
진주,         24.3,            100
창원,         23.3,            95
천안,         26.9,            88
철원,         29.2,            69
청송군,         27.0,            67
청주,         28.2,            77
추풍령,         26.2,            83
춘천,         30.1,            62
충주,         27.1,            81
태백,         24.7,            75
통영,         25.1,            96
파주,         28.7,            71
포항,         23.5,            96
함양군,         24.4,            95
합천,         24.7,            99
해남,         26.2,            92
홍성,         26.4,            93
홍천,         29.0,            60
흑산도,         25.4,            99
